"id_bolletta_emessa","id_utente","quantita","id_contratto","tariffa","importo","periodo_riferimento","data_emissione","data_scadenza"
"1","1","1253","1","0.200","250.600","""Maggio-Luglio""","2020-07-10","2020-07-25"
"2","2","1111","2","0.200","222.200","""Gemmaio-Marzo""","2020-03-02","2020-03-17"
"3","3","20140","3","0.200","4914.160","""Marzo-Maggio""","2020-05-10","2020-05-25"
"4","4","134","4","0.200","26.800","""Luglio-Settembre""","2020-09-03","2020-09-18"
"5","5","8556","5","0.200","2087.664","""Settembre-Novembre""","2020-11-05","2020-11-20"
"6","6","109","6","0.200","21.800","""Marzo-Maggio""","2020-05-10","2020-05-25"
"7","7","52512","7","0.200","12812.928","""Marzo-Maggio""","2020-05-04","2020-05-19"
"8","8","35102","8","0.200","8564.888","""Luglio-Settembre""","2020-09-01","2020-09-16"
"9","9","117","9","0.200","23.400","""Settembre-Novembre""","2020-11-04","2020-11-15"
"10","10","13645","10","0.200","3329.380","""Marzo-Maggio""","2020-05-20","2020-06-04"
"11","11","20209","11","0.200","4930.996","""Gennaio-Marzo""","2020-03-03","2020-03-18"
"12","12","111","12","0.200","22.200","""GennaiO-Marzo""","2020-03-15","2020-03-30"
"13","13","201","13","0.200","40.200","""Marzo-Maggio""","2020-05-11","2020-05-26"
"14","14","22167","14","0.200","5408.748","""Luglio-Settembre""","2020-09-05","2020-09-20"
"15","15","90","15","0.200","18.000","""Luglio-Settembre""","2020-09-15","2020-09-30"
"16","2","153","2","0.200","30.600","""Marzo-Maggio""","2020-05-15","2020-05-30"
"17","4","222","4","0.200","44.400","""Marzo-Maggio""","2020-05-15","2020-05-30"
"18","6","309","6","0.200","61.800","""Marzo-Maggio""","2020-05-07","2020-05-22"
"19","8","21981","8","0.200","5363.364","""Gennaio-Marzo""","2020-03-05","2020-03-20"
"20","10","22261","10","0.200","5431.684","""Settembre-Novembre""","2020-09-05","2020-09-20"
