"id_bolletta_pagata","id_bolletta_emessa","data_pagamento","id_istituto","id_utente"
"1","1","2020-07-15","1","1"
"2","2","2020-03-10","2","2"
"3","3","2020-05-11","3","3"
"4","4","2020-09-09","4","4"
"5","5","2020-11-17","5","5"
"6","7","2020-05-18","7","7"
"7","8","2020-09-14","8","8"
"8","9","2020-11-12","9","9"
"9","10","2020-05-25","10","10"
"10","12","2020-03-16","12","12"
"11","15","2020-09-25","15","15"
"12","16","2020-05-20","2","2"
"13","17","2020-05-20","4","4"
"14","19","2020-03-10","8","8"
"15","20","2020-09-10","10","10"
