"id_contatore","id_utente","quantità_totale"
"1","1","367897834.000"
"2","2","3432566435.000"
"3","2","455661356.000"
"4","1","667465778.000"
"5","6","1000239656.000"
"6","3","448245632.000"
"7","4","9812007539.000"
"8","5","1134227539.000"
"9","7","3302846541.000"
"10","8","210093214.000"
"11","9","4533997412.000"
"12","10","812740954.000"
"13","3","112878541.000"
"14","2","672195951.000"
"15","10","20065498.000"
"16","11","485295545.000"
"17","12","894516541.000"
"18","13","646565416.000"
"19","15","654665656.000"
"20","14","516146562.000"
