"ID_utente","ID_Contratto","tot_spesa","tot_quantita"
"1","1","250.600","1253.000"
"2","2","252.800","1264.000"
"3","3","4914.160","20140.000"
"4","4","71.200","356.000"
"5","5","2087.664","8556.000"
"6","6","83.600","418.000"
"7","7","12812.928","52512.000"
"8","8","13928.252","57083.000"
"9","9","23.400","117.000"
"10","10","8761.064","35906.000"
"11","11","4930.996","20209.000"
"12","12","22.200","111.000"
"13","13","40.200","201.000"
"14","14","5408.748","22167.000"
"15","15","18.000","90.000"
